Voter,Will Novak Djoković win the US Open 2023 (probability)?: No,Will Novak Djoković win the US Open 2023 (probability)?: Yes,"Will Harry Kane shoot at least one goal for Bayern Munich in their game against Bayer Leverkusen on  September 15, 2023?: No","Will Harry Kane shoot at least one goal for Bayern Munich in their game against Bayer Leverkusen on  September 15, 2023?: Yes","Will the Dow Jones Industrial index be over 35000 points on closing of September 14, 2023 (probability)?: Yes","Will the Dow Jones Industrial index be over 35000 points on closing of September 14, 2023 (probability)?: No",Will Tesla's market capitalization be higher than Meta's at closing on September 14 (according to ycharts.com)?: Yes,Will Tesla's market capitalization be higher than Meta's at closing on September 14 (according to ycharts.com)?: No,"How often will the word ""Trump"" appear on the main site of www.nytimes.com?: 2 times or fewer","How often will the word ""Trump"" appear on the main site of www.nytimes.com?: 3 or more times","Will there be any Covid-related masking requirements at Frankfurt School by September 14, 2023?: No","Will there be any Covid-related masking requirements at Frankfurt School by September 14, 2023?: Yes","Will Germany win against Japan in the  soccer test match on  September 9, 2023?: Yes","Will Germany win against Japan in the  soccer test match on  September 9, 2023?: No","Will the Cleveland Browns  win against the Cincinnati Bengals in their game on September 10, 2023?: No","Will the Cleveland Browns  win against the Cincinnati Bengals in their game on September 10, 2023?: Yes"
1,25,75,0,100,40,60,70,30,60,40,100,0,70,30,60,40
2,60,40,10,90,50,50,30,70,0,100,90,10,60,40,30,70
3,20,80,10,90,60,40,30,70,40,60,100,0,40,60,20,80
4,0,100,14,86,58,42,60,40,40,60,98,2,0,100,50,50
5,80,20,0,100,50,50,20,80,10,90,99,1,30,70,50,50
6,40,60,30,70,30,70,70,30,50,50,100,0,80,20,53,47
7,40,60,80,20,50,50,60,40,50,50,98,2,50,50,50,50
8,20,80,40,60,40,60,27,73,20,80,98,2,52,48,40,60
9,30,70,80,20,40,60,70,30,90,10,90,10,80,20,60,40
10,70,30,80,20,40,60,70,30,40,60,100,0,80,20,50,50
11,70,30,33,67,75,25,68,32,20,80,99,1,85,15,50,50
12,0,100,10,90,60,40,100,0,70,30,100,0,70,30,70,30
13,35,65,15,85,55,45,30,70,30,70,100,0,70,30,40,60
14,100,0,35,65,80,20,37,63,100,0,99,1,84,16,73,27
15,50,50,40,60,60,40,20,80,30,70,90,10,50,50,30,70
16,10,90,25,75,65,35,95,5,70,30,90,10,50,40,25,75
17,40,60,70,30,60,40,90,10,10,90,98,2,60,40,80,20
18,30,70,70,30,80,20,30,70,0,100,100,0,50,50,50,50
19,40,60,30,70,80,20,80,20,10,90,100,0,90,10,80,20
20,70,30,15,85,90,10,15,85,0,100,100,0,100,0,30,70
21,70,30,50,50,90,10,70,30,80,20,100,0,70,30,60,40
22,25,75,50,50,30,70,78,22,35,65,90,10,50,50,70,30
23,0,70,40,60,80,20,100,0,20,80,100,0,90,10,50,50
24,20,80,60,40,30,70,90,10,0,100,100,0,60,40,30,70
25,70,30,20,80,70,30,90,10,20,80,100,0,60,40,80,20
26,20,80,40,60,30,70,30,70,50,50,80,20,60,40,50,50
27,50,50,50,50,30,70,80,20,30,70,80,20,50,50,50,50
