id,surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,outcome,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data
0,no,adult,527091,,48,20,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,,decreased,firm,49,6.2,cloudy,2,1,no,415,0,0,yes
1,no,adult,530661,38.8,96,40,warm,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,significant,none,,,,45,6.2,clear,,1,yes,3205,0,0,no
2,yes,adult,527224,38.6,40,28,,,normal_pink,less_3_sec,depressed,hypermotile,moderate,slight,none,,,,37,5.7,,,1,yes,3111,0,0,no
3,no,adult,532513,36.9,,,cool,absent,pale_pink,less_3_sec,alert,hypomotile,slight,slight,,,,,32,,,,1,no,0,0,0,no
4,no,adult,534894,37.1,40,12,,,normal_pink,less_3_sec,,hypermotile,none,,,,,,33,7.7,,,1,yes,3111,0,0,no
5,no,adult,534857,38,56,40,,_RARE_,normal_pink,less_3_sec,severe_pain,,,slight,none,,,,46,50,cloudy,2,1,no,0,0,0,no
6,yes,adult,529470,38.1,66,14,normal,normal,normal_pink,less_3_sec,depressed,hypermotile,slight,slight,,2,,,36,6.2,clear,1,1,no,0,0,0,no
7,yes,adult,534033,37,40,,,,normal_pink,less_3_sec,alert,hypermotile,,,,,,normal,41,57,,,1,no,3111,0,0,no
8,no,adult,5277387,38.2,38,16,cool,normal,bright_pink,less_3_sec,alert,hypomotile,slight,slight,none,,decreased,other,37,7.8,,,1,no,3111,0,0,yes
9,yes,adult,533886,38.8,80,28,warm,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,,,,normal,,39,65,clear,1,1,no,0,0,0,no
10,yes,adult,534537,38.2,40,40,,,normal_pink,less_3_sec,mild_pain,,,,,,,,,80,,,1,no,3111,0,0,no
11,no,adult,5282455,37,138,62,cool,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,slight,none,less_1_liter,7,absent,distend_large,53.5,6.5,serosanguious,3.3,0,yes,2111,0,0,yes
12,no,adult,528673,38.4,48,46,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,,absent,other,39,6.6,,,0,yes,5877,0,0,no
13,yes,adult,530354,37.5,68,11,,,pale_pink,less_3_sec,,,none,significant,none,,,,48,7.6,clear,5.4,1,yes,2208,0,0,yes
14,yes,young,529606,38.1,140,40,,absent,,less_3_sec,depressed,,,,,,,,50,,cloudy,1,0,yes,2208,0,0,yes
15,no,adult,535400,38.5,52,16,normal,normal,normal_pink,less_3_sec,depressed,hypermotile,slight,,,,normal,firm,38,5,clear,,1,no,0,0,0,no
16,no,adult,529781,38.4,74,24,cool,,,,depressed,,,slight,none,,normal,,37,8.4,,,1,no,0,0,0,yes
17,no,adult,534898,37.5,72,,warm,normal,bright_red,more_3_sec,extreme_pain,hypermotile,none,slight,none,,normal,distend_large,50,,cloudy,1,0,yes,2120,0,0,no
18,yes,adult,526835,,,40,cool,,pale_pink,less_3_sec,depressed,hypomotile,severe,,none,,,,,,,,0,yes,4205,0,0,no
19,no,adult,5295588,37.4,104,24,cool,reduced,bright_red,more_3_sec,severe_pain,absent,moderate,,more_1_liter,6.5,absent,distend_small,58,8.9,serosanguious,,0,yes,2205,0,0,no
20,yes,adult,529496,38.2,72,40,cool,reduced,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,less_1_liter,4,absent,distend_small,47,6.7,,,0,yes,7324,0,0,no
21,no,adult,530169,39,38,,cool,reduced,pale_pink,more_3_sec,depressed,absent,severe,,none,,,distend_large,47,7.9,,,0,yes,1909,0,0,no
22,no,adult,528966,38.9,48,10,cool,,bright_pink,less_3_sec,depressed,hypermotile,slight,,,,normal,,,7.9,,,1,no,0,0,0,yes
23,no,adult,528121,37.3,44,10,normal,normal,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,none,none,,,distend_large,46,7.9,clear,,1,yes,7112,0,0,yes
24,no,adult,527080,36.7,128,30,cool,reduced,pale_pink,more_3_sec,severe_pain,hypomotile,moderate,,,,,,42,8.9,,,0,yes,4205,0,0,no
25,yes,adult,533252,38.8,84,12,cool,,normal_pink,less_3_sec,,,,,,,,,35,6,,,1,no,0,0,0,no
26,yes,adult,529398,36.9,39,30,cool,reduced,pale_cyanotic,less_3_sec,depressed,absent,moderate,significant,less_1_liter,,,distend_large,65,6.5,serosanguious,,0,yes,4205,0,0,no
27,yes,adult,529788,37.2,40,,,,,less_3_sec,,,,,,,,,,,,,1,yes,2120,0,0,no
28,yes,adult,527883,38.6,52,12,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,,,decreased,distend_large,33,65,clear,1,1,no,3111,0,0,no
29,yes,adult,529905,36.9,88,16,,,pale_cyanotic,less_3_sec,,,,,,,,,51,5.8,,,1,yes,3112,0,0,yes
30,yes,adult,529142,,39,,cool,normal,dark_cyanotic,less_3_sec,extreme_pain,absent,moderate,significant,more_1_liter,,absent,normal,45,77.5,clear,2,1,yes,2207,0,0,no
31,no,adult,529708,,,30,,,pale_pink,less_3_sec,extreme_pain,hypermotile,slight,slight,less_1_liter,,absent,distend_small,46,6.6,,,0,yes,4111,0,0,no
32,no,adult,534048,37.1,44,22,cool,,,less_3_sec,mild_pain,,,slight,none,,absent,distend_large,43,65,,,1,no,3206,0,0,no
33,yes,adult,528173,,39,20,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,slight,slight,less_1_liter,3,absent,normal,68,6.1,,,1,yes,2205,0,0,no
34,yes,young,529218,37.1,72,,normal,normal,normal_pink,less_3_sec,severe_pain,hypomotile,slight,slight,less_1_liter,,normal,,38,7,clear,1.3,1,yes,5269,0,0,yes
35,yes,adult,528140,37.1,62,,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,none,,normal,,44,66,cloudy,2,1,no,2208,0,0,yes
36,yes,adult,534585,38,62,11,cold,reduced,bright_pink,less_3_sec,alert,hypomotile,slight,slight,none,7,decreased,distend_small,42,7.5,clear,3,1,no,0,0,0,yes
37,yes,adult,527541,38.6,62,18,cool,reduced,bright_pink,more_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,4,decreased,distend_large,50,77,serosanguious,2,0,yes,13463,0,0,no
38,yes,adult,527616,,,,cold,reduced,pale_pink,more_3_sec,,absent,moderate,significant,less_1_liter,,absent,distend_large,43,6.5,,,1,yes,2206,0,0,no
39,no,adult,528295,38.1,39,26,cool,reduced,bright_red,less_3_sec,severe_pain,hypomotile,none,none,more_1_liter,2,,distend_small,57,7,serosanguious,,0,yes,2622,0,0,no
40,yes,adult,5297447,38.6,38,24,normal,reduced,pale_pink,less_3_sec,depressed,hypomotile,none,,more_1_liter,2,,distend_large,47,8.7,,,1,yes,3111,0,0,no
41,no,adult,529829,36.7,,24,cool,normal,pale_pink,less_3_sec,depressed,hypomotile,none,slight,none,,normal,distend_large,31,6,,,0,no,7260,0,0,no
42,yes,adult,535101,37,69,12,warm,,normal_pink,less_3_sec,alert,hypomotile,slight,,,,normal,normal,35,74,,,1,no,0,0,0,no
43,no,adult,530530,38.2,40,16,cool,normal,bright_pink,less_3_sec,alert,normal,slight,slight,none,,normal,normal,32,7,,,1,no,0,0,0,yes
44,no,adult,529105,39.5,86,30,cold,reduced,,more_3_sec,severe_pain,absent,moderate,none,less_1_liter,,decreased,distend_large,,8,serosanguious,4,0,yes,2207,0,0,yes
45,no,adult,530252,38.6,60,20,normal,normal,bright_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,,,absent,distend_large,39,5.6,,,1,yes,2124,0,0,no
46,yes,adult,534259,37.5,40,10,cool,normal,normal_pink,more_3_sec,depressed,hypomotile,slight,,,,decreased,distend_small,33,61,,,1,no,3111,0,0,no
47,yes,adult,534759,,38,44,cool,reduced,,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,,decreased,distend_large,51,18,serosanguious,,0,no,3111,0,0,no
48,yes,adult,530298,,39,,warm,reduced,,less_3_sec,extreme_pain,absent,severe,,,,absent,distend_small,31.9,,clear,,0,yes,2208,0,0,no
49,yes,young,534340,38.1,,18,cool,,,less_3_sec,depressed,hypermotile,,,,,,distend_large,43,5.2,,,1,no,0,0,0,no
50,no,adult,535152,38.7,80,30,cool,reduced,bright_red,more_3_sec,depressed,absent,moderate,none,more_1_liter,4,absent,distend_small,39,65,serosanguious,3,0,yes,1646,0,0,no
51,no,adult,529482,36.8,104,,warm,reduced,,more_3_sec,extreme_pain,hypomotile,,,,,,distend_large,,,,,0,yes,3206,0,0,no
