id,surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,outcome,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data
0,no,adult,527091,,48.0,20.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,none,,decreased,firm,49.0,6.2,cloudy,2.0,1,no,415,0,0,yes
1,no,adult,530661,38.8,96.0,40.0,warm,normal,normal_pink,less_3_sec,mild_pain,hypomotile,none,significant,none,,,,45.0,6.2,clear,,1,yes,3205,0,0,no
2,yes,adult,527224,38.6,40.0,28.0,,,normal_pink,less_3_sec,depressed,hypermotile,moderate,slight,none,,,,37.0,5.7,,,1,yes,3111,0,0,no
3,no,adult,532513,36.9,,,cool,absent,pale_pink,less_3_sec,alert,hypomotile,slight,slight,,,,,32.0,,,,1,no,0,0,0,no
4,no,adult,534894,37.1,40.0,12.0,,,normal_pink,less_3_sec,,hypermotile,none,,,,,,33.0,7.7,,,1,yes,3111,0,0,no
5,no,adult,534857,38.0,56.0,40.0,,_RARE_,normal_pink,less_3_sec,severe_pain,,,slight,none,,,,46.0,50.0,cloudy,2.0,1,no,0,0,0,no
6,yes,adult,529470,38.1,66.0,14.0,normal,normal,normal_pink,less_3_sec,depressed,hypermotile,slight,slight,,2.0,,,36.0,6.2,clear,1.0,1,no,0,0,0,no
7,yes,adult,534033,37.0,40.0,,,,normal_pink,less_3_sec,alert,hypermotile,,,,,,normal,41.0,57.0,,,1,no,3111,0,0,no
8,no,adult,5277387,38.2,38.0,16.0,cool,normal,bright_pink,less_3_sec,alert,hypomotile,slight,slight,none,,decreased,other,37.0,7.8,,,1,no,3111,0,0,yes
9,yes,adult,533886,38.8,80.0,28.0,warm,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,,,,normal,,39.0,65.0,clear,1.0,1,no,0,0,0,no
10,yes,adult,534537,38.2,40.0,40.0,,,normal_pink,less_3_sec,mild_pain,,,,,,,,,80.0,,,1,no,3111,0,0,no
11,no,adult,5282455,37.0,138.0,62.0,cool,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,slight,none,less_1_liter,7.0,absent,distend_large,53.5,6.5,serosanguious,3.3,0,yes,2111,0,0,yes
12,no,adult,528673,38.4,48.0,46.0,cool,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,,absent,other,39.0,6.6,,,0,yes,5877,0,0,no
13,yes,adult,530354,37.5,68.0,11.0,,,pale_pink,less_3_sec,,,none,significant,none,,,,48.0,7.6,clear,5.4,1,yes,2208,0,0,yes
14,yes,young,529606,38.1,140.0,40.0,,absent,,less_3_sec,depressed,,,,,,,,50.0,,cloudy,1.0,0,yes,2208,0,0,yes
15,no,adult,535400,38.5,52.0,16.0,normal,normal,normal_pink,less_3_sec,depressed,hypermotile,slight,,,,normal,firm,38.0,5.0,clear,,1,no,0,0,0,no
16,no,adult,529781,38.4,74.0,24.0,cool,,,,depressed,,,slight,none,,normal,,37.0,8.4,,,1,no,0,0,0,yes
17,no,adult,534898,37.5,72.0,,warm,normal,bright_red,more_3_sec,extreme_pain,hypermotile,none,slight,none,,normal,distend_large,50.0,,cloudy,1.0,0,yes,2120,0,0,no
18,yes,adult,526835,,,40.0,cool,,pale_pink,less_3_sec,depressed,hypomotile,severe,,none,,,,,,,,0,yes,4205,0,0,no
19,no,adult,5295588,37.4,104.0,24.0,cool,reduced,bright_red,more_3_sec,severe_pain,absent,moderate,,more_1_liter,6.5,absent,distend_small,58.0,8.9,serosanguious,,0,yes,2205,0,0,no
20,yes,adult,529496,38.2,72.0,40.0,cool,reduced,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,significant,less_1_liter,4.0,absent,distend_small,47.0,6.7,,,0,yes,7324,0,0,no
21,no,adult,530169,39.0,38.0,,cool,reduced,pale_pink,more_3_sec,depressed,absent,severe,,none,,,distend_large,47.0,7.9,,,0,yes,1909,0,0,no
22,no,adult,528966,38.9,48.0,10.0,cool,,bright_pink,less_3_sec,depressed,hypermotile,slight,,,,normal,,,7.9,,,1,no,0,0,0,yes
